,model,architectures,number_of_labels,labels,model_type,number_of_parameters,memory_consumption
0,Jeevesh8/init_bert_ft_qqp-33,BertForSequenceClassification,2,"['LABEL_0', 'LABEL_1']",bert,109483778,439076352
1,ali2066/finetuned_sentence_itr1_2e-05_all_26_02_2022-04_03_26,DistilBertForSequenceClassification,2,"['NEGATIVE', 'POSITIVE']",distilbert,66955010,268957184
2,vaariis/distilbert-base-uncased-finetuned-emotion,DistilBertForSequenceClassification,6,"['LABEL_0', 'LABEL_1', 'LABEL_2', 'LABEL_3', 'LABEL_4', 'LABEL_5']",distilbert,66958086,268969472
3,philschmid/tiny-distilbert-classification,DistilBertForSequenceClassification,2,"['NEGATIVE', 'POSITIVE']",distilbert,62172,271872
4,heranm/finetuning-sentiment-model-3000-samples,DistilBertForSequenceClassification,2,"['LABEL_0', 'LABEL_1']",distilbert,66955010,268957184
5,marcelcastrobr/sagemaker-distilbert-emotion,DistilBertForSequenceClassification,6,"['sadness', 'joy', 'love', 'anger', 'fear', 'surprise']",distilbert,66958086,268969472
6,jasonyim2/distilbert-base-uncased-finetuned-emotion,DistilBertForSequenceClassification,6,"['LABEL_0', 'LABEL_1', 'LABEL_2', 'LABEL_3', 'LABEL_4', 'LABEL_5']",distilbert,66958086,268969472
7,riyadhctg/distilbert-base-uncased-finetuned-cola,DistilBertForSequenceClassification,2,"['LABEL_0', 'LABEL_1']",distilbert,66955010,268957184
8,dapang/distilroberta-base-mic-sym,RobertaForSequenceClassification,2,"['LABEL_0', 'LABEL_1']",roberta,82119938,329782784
9,PrasunMishra/finetuning-sentiment-model-3000-samples,DistilBertForSequenceClassification,2,"['LABEL_0', 'LABEL_1']",distilbert,66955010,268957184
10,nurkayevaa/autonlp-bert-covid-407910458,DistilBertForSequenceClassification,2,"['0', '1']",distilbert,66955010,268957184
11,SetFit/distilbert-base-uncased__sst2__train-16-0,DistilBertForSequenceClassification,2,"['negative', 'positive']",distilbert,66955010,268957184
12,abdelkader/distilbert-base-uncased-finetuned-emotion,DistilBertForSequenceClassification,6,"['LABEL_0', 'LABEL_1', 'LABEL_2', 'LABEL_3', 'LABEL_4', 'LABEL_5']",distilbert,66958086,268969472
13,SetFit/distilbert-base-uncased__hate_speech_offensive__train-16-1,DistilBertForSequenceClassification,3,"['hate speech', 'offensive language', 'neither']",distilbert,66955779,268960256
14,gchhablani/fnet-base-finetuned-sst2,FNetForSequenceClassification,2,"['negative', 'positive']",fnet,82862594,331721216
15,Capreolus/bert-base-msmarco,BertForSequenceClassification,2,"['LABEL_0', 'LABEL_1']",bert,109483778,439076352
16,Splend1dchan/bert-base-uncased-slue-goldtrascription-e3-lr1e-4,BertForSequenceClassification,3,"['Negative', 'Neutral', 'Positive']",bert,109484547,439079424
17,crcb/isear_bert,RobertaForSequenceClassification,7,"['anger', 'disgust', 'fear', 'guilt', 'joy', 'sadness', 'shame']",roberta,124651015,499907072
18,connectivity/cola_6ep_ft-33,BertForSequenceClassification,2,"['LABEL_0', 'LABEL_1']",bert,109483778,439076352
19,Jeevesh8/init_bert_ft_qqp-49,BertForSequenceClassification,2,"['LABEL_0', 'LABEL_1']",bert,109483778,439076352
20,Jeevesh8/feather_berts_46,BertForSequenceClassification,3,"['LABEL_0', 'LABEL_1', 'LABEL_2']",bert,109484547,439079424
21,connectivity/cola_6ep_ft-22,BertForSequenceClassification,2,"['LABEL_0', 'LABEL_1']",bert,109483778,439076352
22,yukta10/finetuning-sentiment-model-3000-samples,DistilBertForSequenceClassification,2,"['LABEL_0', 'LABEL_1']",distilbert,66955010,268957184
23,JonatanGk/roberta-base-bne-finetuned-cyberbullying-spanish,RobertaForSequenceClassification,2,"['Not_bullying', 'Bullying']",roberta,124644866,499891712
24,cambridgeltl/guardian_news_distilbert-base-uncased,DistilBertForSequenceClassification,5,"['LABEL_0', 'LABEL_1', 'LABEL_2', 'LABEL_3', 'LABEL_4']",distilbert,66957317,268966400
25,gchhablani/fnet-base-finetuned-cola,FNetForSequenceClassification,2,"['unacceptable', 'acceptable']",fnet,82862594,331721216
26,ncduy/roberta-imdb-sentiment-analysis,RobertaForSequenceClassification,2,"['LABEL_0', 'LABEL_1']",roberta,124647170,499891712
27,vesteinn/XLMR-ENIS-finetuned-cola,XLMRobertaForSequenceClassification,2,"['LABEL_0', 'LABEL_1']",xlm-roberta,124447490,498317824
28,isakbos/Q8BERT_COLA_L_512,QuantizedBertForSequenceClassification,2,"['LABEL_0', 'LABEL_1']",bert,109483778,439076352
29,connectivity/bert_ft_qqp-7,BertForSequenceClassification,2,"['LABEL_0', 'LABEL_1']",bert,109483778,439076352
30,moghis/distilbert-base-uncased-finetuned-emotion,DistilBertForSequenceClassification,6,"['LABEL_0', 'LABEL_1', 'LABEL_2', 'LABEL_3', 'LABEL_4', 'LABEL_5']",distilbert,66958086,268969472
31,moshew/bert-mini-sst2-distilled,BertForSequenceClassification,2,"['negative', 'positive']",bert,11171074,44895744
32,nreimers/mmarco-mMiniLMv2-L6-H384-v1,XLMRobertaForSequenceClassification,1,['LABEL_0'],xlm-roberta,106994305,427986944
33,uygarkurt/distilbert-base-uncased-finetuned-emotion,DistilBertForSequenceClassification,6,"['sadness', 'joy', 'love', 'anger', 'fear', 'surprise']",distilbert,66958086,268969472
34,amyma21/sincere_question_classification,DistilBertForSequenceClassification,2,"['sincere', 'insincere']",distilbert,66955010,268957184
35,phailyoor/distilbert-base-uncased-finetuned-yahd,DistilBertForSequenceClassification,17,"['LABEL_0', 'LABEL_1', 'LABEL_2', 'LABEL_3', 'LABEL_4', 'LABEL_5', 'LABEL_6', 'LABEL_7', 'LABEL_8', 'LABEL_9', 'LABEL_10', 'LABEL_11', 'LABEL_12', 'LABEL_13', 'LABEL_14', 'LABEL_15', 'LABEL_16']",distilbert,66966545,269003264
36,arianpasquali/distilbert-base-multilingual-cased-toxicity,DistilBertForSequenceClassification,2,"['toxic', 'not_toxic']",distilbert,135326210,541586944
37,robertou2/roberta-base-bne-finetuned-amazon_reviews_multi,RobertaForSequenceClassification,2,"['LABEL_0', 'LABEL_1']",roberta,124644866,499891712
38,neibla/distilbert-base-uncased-finetuned-emotion,DistilBertForSequenceClassification,6,"['LABEL_0', 'LABEL_1', 'LABEL_2', 'LABEL_3', 'LABEL_4', 'LABEL_5']",distilbert,66958086,268969472
39,Anthos23/FS-distilroberta-fine-tuned,RobertaForSequenceClassification,3,"['negative', 'neutral', 'positive']",roberta,82120707,329785856
40,pietrotrope/emotion_final,DistilBertForSequenceClassification,4,"['anger', 'joy', 'optimism', 'sadness']",distilbert,66956548,268963328
41,aviator-neural/bert-base-uncased-sst2,BertForSequenceClassification,2,"['LABEL_0', 'LABEL_1']",bert,109483778,439076352
42,Jeevesh8/bert_ft_qqp-40,BertForSequenceClassification,2,"['LABEL_0', 'LABEL_1']",bert,109483778,439076352
43,jaesun/distilbert-base-uncased-finetuned-cola,DistilBertForSequenceClassification,2,"['unacceptable', 'acceptable']",distilbert,66955010,268957184
44,SetFit/distilbert-base-uncased__sst2__train-32-9,DistilBertForSequenceClassification,2,"['negative', 'positive']",distilbert,66955010,268957184
45,strickvl/nlp-redaction-classifier,DebertaV2ForSequenceClassification,1,['LABEL_0'],deberta-v2,141895681,568852992
46,usami/distilbert-base-uncased-finetuned-cola,DistilBertForSequenceClassification,2,"['LABEL_0', 'LABEL_1']",distilbert,66955010,268957184
47,connectivity/feather_berts_28,BertForSequenceClassification,3,"['LABEL_0', 'LABEL_1', 'LABEL_2']",bert,109484547,439079424
48,IMSyPP/hate_speech_it,BertForSequenceClassification,4,"['LABEL_0', 'LABEL_1', 'LABEL_2', 'LABEL_3']",bert,184348420,738975232
49,Jeevesh8/512seq_len_6ep_bert_ft_cola-91,BertForSequenceClassification,2,"['LABEL_0', 'LABEL_1']",bert,109483778,439076352
50,Jeevesh8/bert_ft_qqp-9,BertForSequenceClassification,2,"['LABEL_0', 'LABEL_1']",bert,109483778,439076352
51,Jeevesh8/bert_ft_qqp-88,BertForSequenceClassification,2,"['LABEL_0', 'LABEL_1']",bert,109483778,439076352
52,Recognai/bert-base-spanish-wwm-cased-xnli,BertForSequenceClassification,3,"['contradiction', 'neutral', 'entailment']",bert,109853187,439945728
53,markt23917/finetuning-sentiment-model-3000-samples,DistilBertForSequenceClassification,2,"['LABEL_0', 'LABEL_1']",distilbert,66955010,268957184
54,chiragasarpota/scotus-bert,BertForSequenceClassification,14,"['LABEL_0', 'LABEL_1', 'LABEL_2', 'LABEL_3', 'LABEL_4', 'LABEL_5', 'LABEL_6', 'LABEL_7', 'LABEL_8', 'LABEL_9', 'LABEL_10', 'LABEL_11', 'LABEL_12', 'LABEL_13']",bert,4387726,17559552
55,JNK789/distilbert-base-uncased-finetuned-tweets-emoji-dataset,DistilBertForSequenceClassification,20,"['LABEL_0', 'LABEL_1', 'LABEL_2', 'LABEL_3', 'LABEL_4', 'LABEL_5', 'LABEL_6', 'LABEL_7', 'LABEL_8', 'LABEL_9', 'LABEL_10', 'LABEL_11', 'LABEL_12', 'LABEL_13', 'LABEL_14', 'LABEL_15', 'LABEL_16', 'LABEL_17', 'LABEL_18', 'LABEL_19']",distilbert,66968852,269012480
56,warwickai/fin-perceiver,PerceiverForSequenceClassification,3,"['negative', 'neutral', 'positive']",perceiver,206099971,824662528
57,anirudh21/bert-base-uncased-finetuned-qnli,BertForSequenceClassification,2,"['LABEL_0', 'LABEL_1']",bert,109483778,439076352
58,Jeevesh8/6ep_bert_ft_cola-47,BertForSequenceClassification,2,"['LABEL_0', 'LABEL_1']",bert,109483778,439076352
59,oferweintraub/bert-base-finance-sentiment-noisy-search,BertForSequenceClassification,3,"['negative', 'neutral', 'positive']",bert,109484547,439079424
60,aXhyra/demo_sentiment_31415,DistilBertForSequenceClassification,3,"['negative', 'neutral', 'positive']",distilbert,66955779,268960256
61,milyiyo/selectra-small-finetuned-amazon-review,ElectraForSequenceClassification,3,"['LABEL_0', 'LABEL_1', 'LABEL_2']",electra,22475779,89911808
62,saattrupdan/job-listing-relevance-model,XLMRobertaForSequenceClassification,1,['LABEL_0'],xlm-roberta,278044417,1112257024
63,Alireza1044/albert-base-v2-qnli,AlbertForSequenceClassification,2,"['LABEL_0', 'LABEL_1']",albert,11685122,46749184
64,aXhyra/presentation_sentiment_1234567,DistilBertForSequenceClassification,3,"['negative', 'neutral', 'positive']",distilbert,66955779,268960256
65,liangyuant/distilbert-base-uncased-finetuned-num200-450-405cls,DistilBertForSequenceClassification,405,"['LABEL_0', 'LABEL_1', 'LABEL_2', 'LABEL_3', 'LABEL_4', 'LABEL_5', 'LABEL_6', 'LABEL_7', 'LABEL_8', 'LABEL_9', 'LABEL_10', 'LABEL_11', 'LABEL_12', 'LABEL_13', 'LABEL_14', 'LABEL_15', 'LABEL_16', 'LABEL_17', 'LABEL_18', 'LABEL_19', 'LABEL_20', 'LABEL_21', 'LABEL_22', 'LABEL_23', 'LABEL_24', 'LABEL_25', 'LABEL_26', 'LABEL_27', 'LABEL_28', 'LABEL_29', 'LABEL_30', 'LABEL_31', 'LABEL_32', 'LABEL_33', 'LABEL_34', 'LABEL_35', 'LABEL_36', 'LABEL_37', 'LABEL_38', 'LABEL_39', 'LABEL_40', 'LABEL_41', 'LABEL_42', 'LABEL_43', 'LABEL_44', 'LABEL_45', 'LABEL_46', 'LABEL_47', 'LABEL_48', 'LABEL_49', 'LABEL_50', 'LABEL_51', 'LABEL_52', 'LABEL_53', 'LABEL_54', 'LABEL_55', 'LABEL_56', 'LABEL_57', 'LABEL_58', 'LABEL_59', 'LABEL_60', 'LABEL_61', 'LABEL_62', 'LABEL_63', 'LABEL_64', 'LABEL_65', 'LABEL_66', 'LABEL_67', 'LABEL_68', 'LABEL_69', 'LABEL_70', 'LABEL_71', 'LABEL_72', 'LABEL_73', 'LABEL_74', 'LABEL_75', 'LABEL_76', 'LABEL_77', 'LABEL_78', 'LABEL_79', 'LABEL_80', 'LABEL_81', 'LABEL_82', 'LABEL_83', 'LABEL_84', 'LABEL_85', 'LABEL_86', 'LABEL_87', 'LABEL_88', 'LABEL_89', 'LABEL_90', 'LABEL_91', 'LABEL_92', 'LABEL_93', 'LABEL_94', 'LABEL_95', 'LABEL_96', 'LABEL_97', 'LABEL_98', 'LABEL_99', 'LABEL_100', 'LABEL_101', 'LABEL_102', 'LABEL_103', 'LABEL_104', 'LABEL_105', 'LABEL_106', 'LABEL_107', 'LABEL_108', 'LABEL_109', 'LABEL_110', 'LABEL_111', 'LABEL_112', 'LABEL_113', 'LABEL_114', 'LABEL_115', 'LABEL_116', 'LABEL_117', 'LABEL_118', 'LABEL_119', 'LABEL_120', 'LABEL_121', 'LABEL_122', 'LABEL_123', 'LABEL_124', 'LABEL_125', 'LABEL_126', 'LABEL_127', 'LABEL_128', 'LABEL_129', 'LABEL_130', 'LABEL_131', 'LABEL_132', 'LABEL_133', 'LABEL_134', 'LABEL_135', 'LABEL_136', 'LABEL_137', 'LABEL_138', 'LABEL_139', 'LABEL_140', 'LABEL_141', 'LABEL_142', 'LABEL_143', 'LABEL_144', 'LABEL_145', 'LABEL_146', 'LABEL_147', 'LABEL_148', 'LABEL_149', 'LABEL_150', 'LABEL_151', 'LABEL_152', 'LABEL_153', 'LABEL_154', 'LABEL_155', 'LABEL_156', 'LABEL_157', 'LABEL_158', 'LABEL_159', 'LABEL_160', 'LABEL_161', 'LABEL_162', 'LABEL_163', 'LABEL_164', 'LABEL_165', 'LABEL_166', 'LABEL_167', 'LABEL_168', 'LABEL_169', 'LABEL_170', 'LABEL_171', 'LABEL_172', 'LABEL_173', 'LABEL_174', 'LABEL_175', 'LABEL_176', 'LABEL_177', 'LABEL_178', 'LABEL_179', 'LABEL_180', 'LABEL_181', 'LABEL_182', 'LABEL_183', 'LABEL_184', 'LABEL_185', 'LABEL_186', 'LABEL_187', 'LABEL_188', 'LABEL_189', 'LABEL_190', 'LABEL_191', 'LABEL_192', 'LABEL_193', 'LABEL_194', 'LABEL_195', 'LABEL_196', 'LABEL_197', 'LABEL_198', 'LABEL_199', 'LABEL_200', 'LABEL_201', 'LABEL_202', 'LABEL_203', 'LABEL_204', 'LABEL_205', 'LABEL_206', 'LABEL_207', 'LABEL_208', 'LABEL_209', 'LABEL_210', 'LABEL_211', 'LABEL_212', 'LABEL_213', 'LABEL_214', 'LABEL_215', 'LABEL_216', 'LABEL_217', 'LABEL_218', 'LABEL_219', 'LABEL_220', 'LABEL_221', 'LABEL_222', 'LABEL_223', 'LABEL_224', 'LABEL_225', 'LABEL_226', 'LABEL_227', 'LABEL_228', 'LABEL_229', 'LABEL_230', 'LABEL_231', 'LABEL_232', 'LABEL_233', 'LABEL_234', 'LABEL_235', 'LABEL_236', 'LABEL_237', 'LABEL_238', 'LABEL_239', 'LABEL_240', 'LABEL_241', 'LABEL_242', 'LABEL_243', 'LABEL_244', 'LABEL_245', 'LABEL_246', 'LABEL_247', 'LABEL_248', 'LABEL_249', 'LABEL_250', 'LABEL_251', 'LABEL_252', 'LABEL_253', 'LABEL_254', 'LABEL_255', 'LABEL_256', 'LABEL_257', 'LABEL_258', 'LABEL_259', 'LABEL_260', 'LABEL_261', 'LABEL_262', 'LABEL_263', 'LABEL_264', 'LABEL_265', 'LABEL_266', 'LABEL_267', 'LABEL_268', 'LABEL_269', 'LABEL_270', 'LABEL_271', 'LABEL_272', 'LABEL_273', 'LABEL_274', 'LABEL_275', 'LABEL_276', 'LABEL_277', 'LABEL_278', 'LABEL_279', 'LABEL_280', 'LABEL_281', 'LABEL_282', 'LABEL_283', 'LABEL_284', 'LABEL_285', 'LABEL_286', 'LABEL_287', 'LABEL_288', 'LABEL_289', 'LABEL_290', 'LABEL_291', 'LABEL_292', 'LABEL_293', 'LABEL_294', 'LABEL_295', 'LABEL_296', 'LABEL_297', 'LABEL_298', 'LABEL_299', 'LABEL_300', 'LABEL_301', 'LABEL_302', 'LABEL_303', 'LABEL_304', 'LABEL_305', 'LABEL_306', 'LABEL_307', 'LABEL_308', 'LABEL_309', 'LABEL_310', 'LABEL_311', 'LABEL_312', 'LABEL_313', 'LABEL_314', 'LABEL_315', 'LABEL_316', 'LABEL_317', 'LABEL_318', 'LABEL_319', 'LABEL_320', 'LABEL_321', 'LABEL_322', 'LABEL_323', 'LABEL_324', 'LABEL_325', 'LABEL_326', 'LABEL_327', 'LABEL_328', 'LABEL_329', 'LABEL_330', 'LABEL_331', 'LABEL_332', 'LABEL_333', 'LABEL_334', 'LABEL_335', 'LABEL_336', 'LABEL_337', 'LABEL_338', 'LABEL_339', 'LABEL_340', 'LABEL_341', 'LABEL_342', 'LABEL_343', 'LABEL_344', 'LABEL_345', 'LABEL_346', 'LABEL_347', 'LABEL_348', 'LABEL_349', 'LABEL_350', 'LABEL_351', 'LABEL_352', 'LABEL_353', 'LABEL_354', 'LABEL_355', 'LABEL_356', 'LABEL_357', 'LABEL_358', 'LABEL_359', 'LABEL_360', 'LABEL_361', 'LABEL_362', 'LABEL_363', 'LABEL_364', 'LABEL_365', 'LABEL_366', 'LABEL_367', 'LABEL_368', 'LABEL_369', 'LABEL_370', 'LABEL_371', 'LABEL_372', 'LABEL_373', 'LABEL_374', 'LABEL_375', 'LABEL_376', 'LABEL_377', 'LABEL_378', 'LABEL_379', 'LABEL_380', 'LABEL_381', 'LABEL_382', 'LABEL_383', 'LABEL_384', 'LABEL_385', 'LABEL_386', 'LABEL_387', 'LABEL_388', 'LABEL_389', 'LABEL_390', 'LABEL_391', 'LABEL_392', 'LABEL_393', 'LABEL_394', 'LABEL_395', 'LABEL_396', 'LABEL_397', 'LABEL_398', 'LABEL_399', 'LABEL_400', 'LABEL_401', 'LABEL_402', 'LABEL_403', 'LABEL_404']",distilbert,67264917,271049728
